User,Time,Model,Input tokens,Output tokens,Cost,Balance
Praveenkumar Karunakaran,12/10/2025, 10:52:01 AM,Qwen3-30B-A3B:latest,2151,2762,0.4913,948.0047
Praveenkumar Karunakaran,12/10/2025, 10:50:41 AM,Qwen3-30B-A3B:latest,2157,2122,0.4279,948.4960
Praveenkumar Karunakaran,12/10/2025, 10:48:28 AM,Qwen3-30B-A3B:latest,45,2097,0.2142,948.9239
Praveenkumar Karunakaran,12/10/2025, 10:44:56 AM,Qwen3-30B-A3B:latest,47,2455,0.2502,949.1381
Praveenkumar Karunakaran,12/10/2025, 10:42:44 AM,Qwen3-30B-A3B:latest,328,1016,0.1344,949.3883
Praveenkumar Karunakaran,12/4/2025, 10:35:24 AM,Qwen3-30B-A3B:latest,17,487,0.0504,949.5227
Praveenkumar Karunakaran,12/3/2025, 2:47:36 PM,Qwen3-30B-A3B:latest,3916,1841,0.5757,949.5731
Praveenkumar Karunakaran,12/3/2025, 2:45:02 PM,Qwen3-30B-A3B:latest,1765,2122,0.3887,950.1488
Praveenkumar Karunakaran,12/3/2025, 10:31:08 AM,Qwen3-30B-A3B:latest,761,985,0.1746,950.5375
Praveenkumar Karunakaran,12/3/2025, 10:26:23 AM,Qwen3-30B-A3B:latest,34,709,0.0743,950.7121
open-ui,12/3/2025, 10:09:23 AM,ministral-3:latest,2067,635,0.2702,90673.0843
open-ui,12/3/2025, 10:08:27 AM,ministral-3:latest,2067,642,0.2709,90673.3545
open-ui,12/3/2025, 10:06:08 AM,viewpoint-jira,4512,168,0.1522,90673.6254
open-ui,12/3/2025, 10:05:53 AM,viewpoint-jira,4856,129,0.1586,90673.7776
open-ui,12/3/2025, 10:05:30 AM,viewpoint-jira,8603,193,0.2774,90673.9362
open-ui,12/3/2025, 10:00:51 AM,viewpoint-jira,4014,33,0.1237,90674.2136
Martin Haunschild,12/3/2025, 9:53:13 AM,ministral-3:latest,1832,638,0.2470,998.3772
Martin Haunschild,12/3/2025, 9:46:43 AM,Qwen3-30B-A3B:latest,18,149,0.0167,998.6242
Praveenkumar Karunakaran,12/2/2025, 5:00:41 PM,Qwen3-30B-A3B:latest,772,1032,0.1804,950.7864
Praveenkumar Karunakaran,12/2/2025, 4:59:11 PM,Qwen3-30B-A3B:latest,15,740,0.0755,950.9668
Praveenkumar Karunakaran,12/2/2025, 10:42:04 AM,Qwen3-30B-A3B:latest,3617,1295,0.4912,951.0423
Praveenkumar Karunakaran,12/2/2025, 10:29:52 AM,Qwen3-30B-A3B:latest,2727,1441,0.4168,951.5335
Praveenkumar Karunakaran,12/2/2025, 10:25:09 AM,Qwen3-30B-A3B:latest,1445,1254,0.2699,951.9503
Praveenkumar Karunakaran,12/2/2025, 10:13:14 AM,Qwen3-30B-A3B:latest,588,838,0.1426,952.2202
Praveenkumar Karunakaran,12/2/2025, 10:12:29 AM,Qwen3-30B-A3B:latest,14,555,0.0569,952.3628
open-ui,11/27/2025, 1:22:06 PM,viewpoint-jira,3045,2681,0.3595,90674.3373
open-ui,11/24/2025, 9:55:15 AM,gpt-oss-custom:latest,160,904,0.1064,90674.6968
open-ui,11/21/2025, 1:31:31 PM,Olmo-3-32B:latest,60,155,0.0215,90674.8032
open-ui,11/21/2025, 1:26:27 PM,gpt-oss-custom:latest,2853,239,0.3092,90674.8247
open-ui,11/20/2025, 1:15:52 PM,viewpoint-jira,48139,205,1.4647,90675.1339
Martin Haunschild,11/18/2025, 1:28:01 PM,gpt-oss:20b,2593,1049,0.3642,998.6409
Martin Haunschild,11/18/2025, 1:26:50 PM,gpt-oss:20b,2509,675,0.3184,999.0051
Martin Haunschild,11/18/2025, 1:26:09 PM,gpt-oss:20b,2819,184,0.3003,999.3235
Martin Haunschild,11/18/2025, 1:24:50 PM,gpt-oss:20b,2821,230,0.3051,999.6238
open-ui,11/18/2025, 11:33:15 AM,gpt-oss-custom:latest,2640,1161,0.3801,90676.5986
open-ui,11/18/2025, 11:32:09 AM,gpt-oss-custom:latest,2503,431,0.2934,90676.9787
open-ui,11/18/2025, 11:31:56 AM,gpt-oss-custom:latest,2857,418,0.3275,90677.2721
Praveenkumar Karunakaran,10/28/2025, 4:33:46 PM,Qwen3-30B-A3B:latest,2356,1314,0.3670,952.4197
Praveenkumar Karunakaran,10/28/2025, 3:06:31 PM,Qwen3-30B-A3B:latest,1365,969,0.2334,952.7867
Praveenkumar Karunakaran,10/28/2025, 1:58:30 PM,Qwen3-30B-A3B:latest,4096,1345,0.5441,953.0201
Praveenkumar Karunakaran,10/27/2025, 3:12:16 PM,Qwen3-30B-A3B:latest,2676,648,0.3324,953.5642
Praveenkumar Karunakaran,10/27/2025, 3:11:16 PM,Qwen3-30B-A3B:latest,428,163,0.0591,953.8966
Praveenkumar Karunakaran,10/27/2025, 12:48:50 PM,Qwen3-30B-A3B:latest,4055,1310,0.5365,953.9557
Praveenkumar Karunakaran,10/27/2025, 12:47:34 PM,Qwen3-30B-A3B:latest,3429,1130,0.4559,954.4922
Praveenkumar Karunakaran,10/27/2025, 12:46:38 PM,Qwen3-30B-A3B:latest,3263,1125,0.4388,954.9481
Praveenkumar Karunakaran,10/27/2025, 12:44:17 PM,Qwen3-30B-A3B:latest,2121,733,0.2854,955.3869
Praveenkumar Karunakaran,10/27/2025, 12:37:45 PM,Qwen3-30B-A3B:latest,998,1081,0.2079,955.6723
Praveenkumar Karunakaran,10/27/2025, 10:08:56 AM,Qwen3-30B-A3B:latest,4096,982,0.5078,955.8802
Praveenkumar Karunakaran,10/23/2025, 12:20:11 PM,Qwen3-30B-A3B:latest,2946,1310,0.4256,956.3880
Praveenkumar Karunakaran,10/23/2025, 12:16:16 PM,Qwen3-30B-A3B:latest,3814,1065,0.4879,956.8136
Praveenkumar Karunakaran,10/23/2025, 12:14:03 PM,Qwen3-30B-A3B:latest,3102,1548,0.4650,957.3015
Praveenkumar Karunakaran,10/23/2025, 12:06:59 PM,Qwen3-30B-A3B:latest,1862,1172,0.3034,957.7665
Praveenkumar Karunakaran,10/23/2025, 11:58:57 AM,Qwen3-30B-A3B:latest,1820,445,0.2265,958.0699
Praveenkumar Karunakaran,10/23/2025, 11:57:23 AM,Qwen3-30B-A3B:latest,1335,457,0.1792,958.2964
Praveenkumar Karunakaran,10/23/2025, 11:55:48 AM,Qwen3-30B-A3B:latest,857,424,0.1281,958.4756
Praveenkumar Karunakaran,10/23/2025, 11:49:28 AM,Qwen3-30B-A3B:latest,428,405,0.0833,958.6037
Praveenkumar Karunakaran,10/23/2025, 11:10:36 AM,Qwen3-30B-A3B:latest,543,88,0.0631,958.6870
Praveenkumar Karunakaran,10/23/2025, 11:09:55 AM,Qwen3-30B-A3B:latest,435,76,0.0511,958.7501
Praveenkumar Karunakaran,10/23/2025, 10:14:29 AM,Qwen3-30B-A3B:latest,1371,1320,0.2691,958.8012
Praveenkumar Karunakaran,10/23/2025, 10:12:41 AM,Qwen3-30B-A3B:latest,4096,1345,0.5441,959.0703
Praveenkumar Karunakaran,10/23/2025, 10:06:19 AM,Qwen3-30B-A3B:latest,4096,708,0.4804,959.6144
Praveenkumar Karunakaran,10/22/2025, 2:00:40 PM,Qwen3-30B-A3B:latest,4096,1174,0.5270,960.0948
Praveenkumar Karunakaran,10/22/2025, 12:33:11 PM,Qwen3-30B-A3B:latest,4096,859,0.4955,960.6218
open-ui,10/17/2025, 1:20:41 PM,Qwen3-30B-A3B:latest,127,628,0.0755,90677.5996
open-ui,10/17/2025, 1:19:41 PM,Qwen3-30B-A3B:latest,121,147,0.0268,90677.6751
open-ui,10/17/2025, 1:19:00 PM,Qwen3-30B-A3B:latest,118,187,0.0305,90677.7019
Praveenkumar Karunakaran,10/16/2025, 9:44:07 AM,Qwen3-30B-A3B:latest,4096,1206,0.5302,961.1173
Praveenkumar Karunakaran,10/15/2025, 11:48:47 AM,Qwen3-30B-A3B:latest,1141,1476,0.2617,961.6475
Praveenkumar Karunakaran,10/15/2025, 11:47:14 AM,Qwen3-30B-A3B:latest,4096,1124,0.5220,961.9092
Praveenkumar Karunakaran,10/13/2025, 2:10:46 PM,Qwen3-30B-A3B:latest,2866,1481,0.4347,962.4312
Praveenkumar Karunakaran,10/13/2025, 1:43:27 PM,Qwen3-30B-A3B:latest,2828,1373,0.4201,962.8659
Praveenkumar Karunakaran,10/13/2025, 1:41:47 PM,Qwen3-30B-A3B:latest,1373,1435,0.2808,963.2860
Praveenkumar Karunakaran,10/13/2025, 1:41:06 PM,Qwen3-30B-A3B:latest,4096,1355,0.5451,963.5668
Praveenkumar Karunakaran,10/8/2025, 4:31:15 PM,Qwen3-30B-A3B:latest,4096,810,0.4906,964.1119
Praveenkumar Karunakaran,10/8/2025, 12:52:15 PM,Qwen3-30B-A3B:latest,3945,747,0.4692,964.6025
Praveenkumar Karunakaran,10/8/2025, 12:51:30 PM,Qwen3-30B-A3B:latest,3796,522,0.4318,965.0717
Praveenkumar Karunakaran,10/8/2025, 12:50:40 PM,Qwen3-30B-A3B:latest,3115,396,0.3511,965.5035
Praveenkumar Karunakaran,10/8/2025, 12:49:56 PM,Qwen3-30B-A3B:latest,2313,646,0.2959,965.8546
Praveenkumar Karunakaran,10/8/2025, 12:46:57 PM,Qwen3-30B-A3B:latest,1288,1019,0.2307,966.1505
Praveenkumar Karunakaran,10/8/2025, 12:44:49 PM,Qwen3-30B-A3B:latest,4096,862,0.4958,966.3812
Praveenkumar Karunakaran,10/8/2025, 9:51:34 AM,Qwen3-30B-A3B:latest,3580,1001,0.4581,966.8770
Praveenkumar Karunakaran,10/8/2025, 9:49:43 AM,Qwen3-30B-A3B:latest,3961,814,0.4775,967.3351
Praveenkumar Karunakaran,10/8/2025, 9:47:01 AM,Qwen3-30B-A3B:latest,3747,683,0.4430,967.8126
Praveenkumar Karunakaran,10/8/2025, 9:43:46 AM,Qwen3-30B-A3B:latest,3926,719,0.4645,968.2556
Praveenkumar Karunakaran,10/8/2025, 9:43:19 AM,Qwen3-30B-A3B:latest,3301,585,0.3886,968.7201
Praveenkumar Karunakaran,10/8/2025, 9:40:30 AM,Qwen3-30B-A3B:latest,3398,652,0.4050,969.1087
Praveenkumar Karunakaran,10/8/2025, 9:37:59 AM,Qwen3-30B-A3B:latest,3962,515,0.4477,969.5137
Praveenkumar Karunakaran,10/8/2025, 9:37:07 AM,Qwen3-30B-A3B:latest,3911,459,0.4370,969.9614
Praveenkumar Karunakaran,10/8/2025, 9:35:59 AM,Qwen3-30B-A3B:latest,3033,855,0.3888,970.3984
Praveenkumar Karunakaran,10/8/2025, 9:34:56 AM,Qwen3-30B-A3B:latest,2370,626,0.2996,970.7872
Praveenkumar Karunakaran,10/8/2025, 9:30:56 AM,Qwen3-30B-A3B:latest,1553,795,0.2348,971.0868
Praveenkumar Karunakaran,10/8/2025, 9:30:42 AM,Qwen3-30B-A3B:latest,4096,1101,0.5197,971.3216
Praveenkumar Karunakaran,10/7/2025, 4:59:06 PM,Qwen3-30B-A3B:latest,3926,454,0.4380,971.8413
Praveenkumar Karunakaran,10/7/2025, 4:55:11 PM,Qwen3-30B-A3B:latest,3474,636,0.4110,972.2793
Praveenkumar Karunakaran,10/7/2025, 4:52:56 PM,Qwen3-30B-A3B:latest,2425,560,0.2985,972.6903
Praveenkumar Karunakaran,10/7/2025, 4:51:55 PM,Qwen3-30B-A3B:latest,1912,539,0.2451,972.9888
Praveenkumar Karunakaran,10/7/2025, 4:49:12 PM,Qwen3-30B-A3B:latest,1303,537,0.1840,973.2339
Praveenkumar Karunakaran,10/7/2025, 4:45:17 PM,Qwen3-30B-A3B:latest,4096,819,0.4915,973.4179
Praveenkumar Karunakaran,10/7/2025, 4:10:14 PM,Qwen3-30B-A3B:latest,3755,510,0.4265,973.9094
Praveenkumar Karunakaran,10/7/2025, 4:09:45 PM,Qwen3-30B-A3B:latest,3217,521,0.3738,974.3359
Praveenkumar Karunakaran,10/7/2025, 4:08:42 PM,Qwen3-30B-A3B:latest,2683,506,0.3189,974.7097
Praveenkumar Karunakaran,10/7/2025, 4:07:32 PM,Qwen3-30B-A3B:latest,2245,424,0.2669,975.0286
Praveenkumar Karunakaran,10/7/2025, 4:06:44 PM,Qwen3-30B-A3B:latest,3972,562,0.4534,975.2955
Praveenkumar Karunakaran,10/7/2025, 4:00:48 PM,Qwen3-30B-A3B:latest,4085,1588,0.5673,975.7489
Praveenkumar Karunakaran,10/7/2025, 3:56:53 PM,Qwen3-30B-A3B:latest,3128,2339,0.5467,976.3162
Praveenkumar Karunakaran,10/7/2025, 3:55:06 PM,Qwen3-30B-A3B:latest,2442,1703,0.4145,976.8629
Praveenkumar Karunakaran,10/7/2025, 3:52:21 PM,Qwen3-30B-A3B:latest,3922,1382,0.5304,977.2774
Praveenkumar Karunakaran,10/7/2025, 3:46:55 PM,Qwen3-30B-A3B:latest,2889,1018,0.3907,977.8078
Praveenkumar Karunakaran,10/7/2025, 3:44:20 PM,Qwen3-30B-A3B:latest,2671,1672,0.4343,978.1985
Praveenkumar Karunakaran,10/7/2025, 3:40:15 PM,Qwen3-30B-A3B:latest,2989,1175,0.4164,978.6328
Praveenkumar Karunakaran,10/7/2025, 3:37:36 PM,Qwen3-30B-A3B:latest,2844,1455,0.4299,979.0492
Praveenkumar Karunakaran,10/7/2025, 3:24:05 PM,Qwen3-30B-A3B:latest,3861,1492,0.5353,979.4791
Praveenkumar Karunakaran,10/7/2025, 3:22:47 PM,Qwen3-30B-A3B:latest,3503,1307,0.4810,980.0144
Praveenkumar Karunakaran,10/7/2025, 3:20:41 PM,Qwen3-30B-A3B:latest,3657,1482,0.5139,980.4954
Praveenkumar Karunakaran,10/7/2025, 2:37:52 PM,Qwen3-30B-A3B:latest,3838,958,0.4796,981.0093
Praveenkumar Karunakaran,10/7/2025, 2:36:52 PM,Qwen3-30B-A3B:latest,4045,951,0.4996,981.4889
Praveenkumar Karunakaran,10/7/2025, 2:36:04 PM,Qwen3-30B-A3B:latest,3801,750,0.4551,981.9885
Praveenkumar Karunakaran,10/7/2025, 2:33:43 PM,Qwen3-30B-A3B:latest,4087,827,0.4914,982.4436
Praveenkumar Karunakaran,10/7/2025, 2:32:14 PM,Qwen3-30B-A3B:latest,4073,680,0.4753,982.9350
Praveenkumar Karunakaran,10/7/2025, 2:30:20 PM,Qwen3-30B-A3B:latest,4010,444,0.4454,983.4103
Praveenkumar Karunakaran,10/7/2025, 2:29:33 PM,Qwen3-30B-A3B:latest,3545,451,0.3996,983.8557
Praveenkumar Karunakaran,10/7/2025, 2:26:55 PM,Qwen3-30B-A3B:latest,2898,685,0.3583,984.2553
Praveenkumar Karunakaran,10/7/2025, 2:24:48 PM,Qwen3-30B-A3B:latest,2271,502,0.2773,984.6136
Praveenkumar Karunakaran,10/7/2025, 2:21:08 PM,Qwen3-30B-A3B:latest,1947,304,0.2251,984.8909
Praveenkumar Karunakaran,10/7/2025, 2:17:41 PM,Qwen3-30B-A3B:latest,1108,845,0.1953,985.1160
Praveenkumar Karunakaran,10/7/2025, 2:15:59 PM,Qwen3-30B-A3B:latest,739,312,0.1051,985.3113
Praveenkumar Karunakaran,10/7/2025, 2:15:30 PM,Qwen3-30B-A3B:latest,4096,328,0.4424,985.4164
Praveenkumar Karunakaran,10/7/2025, 1:33:55 PM,Qwen3-30B-A3B:latest,1502,193,0.1695,985.8588
Praveenkumar Karunakaran,10/7/2025, 1:32:50 PM,Qwen3-30B-A3B:latest,1289,216,0.1505,986.0283
Praveenkumar Karunakaran,10/7/2025, 1:31:16 PM,Qwen3-30B-A3B:latest,989,228,0.1217,986.1788
Praveenkumar Karunakaran,10/7/2025, 1:29:56 PM,Qwen3-30B-A3B:latest,789,176,0.0965,986.3005
Praveenkumar Karunakaran,10/7/2025, 1:28:47 PM,Qwen3-30B-A3B:latest,545,238,0.0783,986.3970
Praveenkumar Karunakaran,10/7/2025, 1:28:22 PM,Qwen3-30B-A3B:latest,401,129,0.0530,986.4753
Praveenkumar Karunakaran,10/7/2025, 1:14:34 PM,Qwen3-30B-A3B:latest,3162,518,0.3680,986.5283
Praveenkumar Karunakaran,10/7/2025, 1:13:30 PM,Qwen3-30B-A3B:latest,3700,590,0.4290,986.8963
Praveenkumar Karunakaran,10/7/2025, 1:12:28 PM,Qwen3-30B-A3B:latest,2897,781,0.3678,987.3253
Praveenkumar Karunakaran,10/7/2025, 1:10:43 PM,Qwen3-30B-A3B:latest,3505,749,0.4254,987.6931
Praveenkumar Karunakaran,10/7/2025, 11:40:36 AM,Qwen3-30B-A3B:latest,3455,948,0.4403,988.1185
Praveenkumar Karunakaran,10/7/2025, 11:39:29 AM,Qwen3-30B-A3B:latest,4064,1130,0.5194,988.5588
Praveenkumar Karunakaran,10/7/2025, 11:38:43 AM,Qwen3-30B-A3B:latest,3674,1340,0.5014,989.0782
Praveenkumar Karunakaran,10/7/2025, 11:37:50 AM,Qwen3-30B-A3B:latest,3705,888,0.4593,989.5796
Praveenkumar Karunakaran,10/7/2025, 11:35:55 AM,Qwen3-30B-A3B:latest,2825,856,0.3681,990.0389
Praveenkumar Karunakaran,10/7/2025, 11:35:16 AM,Qwen3-30B-A3B:latest,3427,874,0.4301,990.4070
Praveenkumar Karunakaran,10/7/2025, 11:32:58 AM,Qwen3-30B-A3B:latest,3715,946,0.4661,990.8371
Praveenkumar Karunakaran,10/7/2025, 11:25:32 AM,Qwen3-30B-A3B:latest,2331,934,0.3265,991.3032
Praveenkumar Karunakaran,10/7/2025, 11:24:36 AM,Qwen3-30B-A3B:latest,841,1471,0.2312,991.6297
Praveenkumar Karunakaran,10/7/2025, 11:20:53 AM,Qwen3-30B-A3B:latest,4096,815,0.4911,991.8609
Praveenkumar Karunakaran,10/6/2025, 4:51:13 PM,Qwen3-30B-A3B:latest,3834,1471,0.5305,992.3520
Praveenkumar Karunakaran,10/6/2025, 4:41:01 PM,Qwen3-30B-A3B:latest,3344,874,0.4218,992.8825
Praveenkumar Karunakaran,10/6/2025, 4:32:29 PM,Qwen3-30B-A3B:latest,2466,535,0.3001,993.3043
Praveenkumar Karunakaran,10/6/2025, 4:32:22 PM,Qwen3-30B-A3B:latest,2461,850,0.3311,993.6044
Praveenkumar Karunakaran,10/6/2025, 4:20:52 PM,Qwen3-30B-A3B:latest,838,1228,0.2066,993.9355
Praveenkumar Karunakaran,10/6/2025, 4:20:41 PM,Qwen3-30B-A3B:latest,838,1222,0.2060,994.1421
Praveenkumar Karunakaran,10/6/2025, 4:01:26 PM,Qwen3-30B-A3B:latest,4096,817,0.4913,994.3481
Praveenkumar Karunakaran,10/6/2025, 3:33:35 PM,Qwen3-30B-A3B:latest,3970,810,0.4780,994.8394
Praveenkumar Karunakaran,10/6/2025, 3:14:57 PM,Qwen3-30B-A3B:latest,2468,1416,0.3884,995.3174
Praveenkumar Karunakaran,10/6/2025, 3:01:43 PM,Qwen3-30B-A3B:latest,2492,2234,0.4726,995.7058
Praveenkumar Karunakaran,10/6/2025, 2:59:02 PM,Qwen3-30B-A3B:latest,3500,2373,0.5873,996.1784
Praveenkumar Karunakaran,10/6/2025, 2:55:49 PM,Qwen3-30B-A3B:latest,3804,605,0.4409,996.7657
Praveenkumar Karunakaran,10/6/2025, 2:32:15 PM,Qwen3-30B-A3B:latest,2372,1019,0.3391,997.2066
Praveenkumar Karunakaran,10/6/2025, 2:31:08 PM,Qwen3-30B-A3B:latest,1419,542,0.1961,997.5457
Praveenkumar Karunakaran,10/6/2025, 2:30:35 PM,Qwen3-30B-A3B:latest,268,1133,0.1401,997.7418
Praveenkumar Karunakaran,10/6/2025, 2:29:54 PM,Qwen3-30B-A3B:latest,405,134,0.0539,997.8819
Praveenkumar Karunakaran,10/6/2025, 10:59:44 AM,Qwen3-30B-A3B:latest,4096,1175,0.5271,997.9358
Philipp A. Baer,10/3/2025, 4:15:40 AM,Qwen3-30B-A3B:latest,2337,1870,0.4207,38.6736
Philipp A. Baer,10/3/2025, 4:14:05 AM,Qwen3-30B-A3B:latest,3605,2277,0.5882,39.0943
Philipp A. Baer,10/3/2025, 4:13:00 AM,Qwen3-30B-A3B:latest,3783,1817,0.5600,39.6825
Philipp A. Baer,10/3/2025, 4:10:47 AM,Qwen3-30B-A3B:latest,1789,2006,0.3795,40.2425
Philipp A. Baer,10/3/2025, 4:09:41 AM,Qwen3-30B-A3B:latest,3153,1750,0.4903,40.6220
Philipp A. Baer,10/3/2025, 4:08:27 AM,Qwen3-30B-A3B:latest,3302,3112,0.6414,41.1123
Philipp A. Baer,10/3/2025, 4:06:45 AM,Qwen3-30B-A3B:latest,716,2098,0.2814,41.7537
open-ui,10/2/2025, 12:19:03 PM,viewpoint-local,6295,1063,0.2207,90677.7324
Praveenkumar Karunakaran,9/25/2025, 4:56:33 PM,Qwen3-30B-A3B:latest,4096,878,0.4974,998.4629
Praveenkumar Karunakaran,9/25/2025, 12:05:55 PM,medgemma-4b:latest,4096,651,0.4747,998.9603
Praveenkumar Karunakaran,9/25/2025, 11:01:08 AM,Qwen3-30B-A3B:latest,62,1320,0.1382,999.4350
Praveenkumar Karunakaran,9/25/2025, 10:59:08 AM,Qwen3-30B-A3B:latest,12,33,0.0045,999.5732
Praveenkumar Karunakaran,9/25/2025, 10:57:08 AM,Qwen3-30B-A3B:latest,4096,127,0.4223,999.5777
open-ui,9/19/2025, 2:21:37 PM,gpt-oss:20b,104,101,0.0205,90677.9531
open-ui,9/19/2025, 1:52:14 PM,viewpoint-local,2381,316,0.0809,90677.9736
Philipp A. Baer,9/19/2025, 1:20:58 PM,Qwen3-30B-A3B:latest,18,579,0.0597,42.0351
Philipp A. Baer,9/19/2025, 1:20:17 PM,Qwen3-30B-A3B:latest,142,1047,0.1189,42.0948
Philipp A. Baer,9/19/2025, 11:29:51 AM,Qwen3-30B-A3B:latest,1406,1021,0.2427,42.2137
Philipp A. Baer,9/19/2025, 11:28:15 AM,Qwen3-30B-A3B:latest,24,1126,0.1150,42.4564
Philipp A. Baer,9/18/2025, 12:37:50 PM,Qwen3-30B-A3B:latest,605,1084,0.1689,42.5714
Philipp A. Baer,9/18/2025, 12:36:56 PM,Qwen3-30B-A3B:latest,23,565,0.0588,42.7403
Philipp A. Baer,9/18/2025, 4:04:14 AM,Qwen3-30B-A3B:latest,4085,778,0.4863,42.7991
Philipp A. Baer,9/18/2025, 4:03:40 AM,Qwen3-30B-A3B:latest,3114,948,0.4062,43.2854
Philipp A. Baer,9/18/2025, 4:03:11 AM,Qwen3-30B-A3B:latest,2681,604,0.3285,43.6916
Philipp A. Baer,9/18/2025, 3:42:49 AM,Qwen3-30B-A3B:latest,1434,1010,0.2444,44.0201
Philipp A. Baer,9/18/2025, 3:42:21 AM,Qwen3-30B-A3B:latest,26,1388,0.1414,44.2645
Philipp A. Baer,9/17/2025, 1:28:50 PM,Qwen3-30B-A3B:latest,3317,1190,0.4507,44.4059
Philipp A. Baer,9/17/2025, 1:23:30 PM,Qwen3-30B-A3B:latest,2913,1354,0.4267,44.8566
Philipp A. Baer,9/17/2025, 1:21:44 PM,Qwen3-30B-A3B:latest,2580,1574,0.4154,45.2833
Philipp A. Baer,9/17/2025, 1:20:49 PM,Qwen3-30B-A3B:latest,3350,1194,0.4544,45.6987
Philipp A. Baer,9/17/2025, 1:07:12 PM,Qwen3-30B-A3B:latest,2551,1326,0.3877,46.1531
Philipp A. Baer,9/17/2025, 1:05:19 PM,Qwen3-30B-A3B:latest,33,1956,0.1989,46.5408
Philipp A. Baer,9/17/2025, 12:59:01 PM,Qwen3-30B-A3B:latest,2689,904,0.3593,46.7397
Philipp A. Baer,9/17/2025, 12:53:15 PM,Qwen3-30B-A3B:latest,2304,1211,0.3515,47.0990
Philipp A. Baer,9/17/2025, 12:52:40 PM,Qwen3-30B-A3B:latest,22,1317,0.1339,47.4505
Philipp A. Baer,9/17/2025, 10:23:24 AM,Qwen3-30B-A3B:latest,2500,1596,0.4096,47.5844
Philipp A. Baer,9/17/2025, 10:20:35 AM,Qwen3-30B-A3B:latest,2902,1379,0.4281,47.9940
Philipp A. Baer,9/17/2025, 10:16:59 AM,Qwen3-30B-A3B:latest,3278,931,0.4209,48.4221
Philipp A. Baer,9/17/2025, 9:50:14 AM,Qwen3-30B-A3B:latest,2586,1866,0.4452,48.8430
Philipp A. Baer,9/17/2025, 9:39:18 AM,Qwen3-30B-A3B:latest,1327,1226,0.2553,49.2882
Philipp A. Baer,9/17/2025, 9:38:40 AM,Qwen3-30B-A3B:latest,19,1282,0.1301,49.5435
Philipp A. Baer,9/17/2025, 4:23:14 AM,gpt-oss:20b,97,1020,0.1117,49.6736
Philipp A. Baer,9/16/2025, 11:15:00 AM,Qwen3-30B-A3B:latest,16,283,0.0299,49.7853
Philipp A. Baer,9/16/2025, 11:14:49 AM,gpt-oss:20b,100,485,0.0585,49.8152
open-ui,9/4/2025, 2:39:05 PM,Qwen3-30B-A3B:latest,24,510,0.0534,90678.0545
Martin Haunschild,8/6/2025, 9:50:39 AM,gpt-oss:20b,106,605,0.0711,999.9289
Vishnu,8/6/2025, 8:06:42 AM,viewpoint-local,5139,603,0.1723,29.0951
open-ui,8/4/2025, 6:52:25 PM,viewpoint-local,3684,545,0.1269,90678.1079
open-ui,8/4/2025, 6:51:35 PM,viewpoint-local,3012,655,0.1100,90678.2348
open-ui,8/4/2025, 6:50:36 PM,viewpoint-local,2491,502,0.0898,90678.3448
open-ui,8/4/2025, 6:49:07 PM,viewpoint-local,1908,564,0.0742,90678.4346
open-ui,8/4/2025, 6:44:38 PM,viewpoint-local,1266,626,0.0568,90678.5088
open-ui,8/4/2025, 6:43:59 PM,viewpoint-local,835,415,0.0375,90678.5656
open-ui,8/4/2025, 6:43:16 PM,viewpoint-local,448,375,0.0247,90678.6031
open-ui,8/4/2025, 6:42:12 PM,viewpoint-local,187,236,0.0127,90678.6278
open-ui,8/4/2025, 6:40:59 PM,viewpoint-local,4096,139,0.1271,90678.6405
open-ui,8/4/2025, 4:20:46 PM,viewpoint-jira,7414,1451,0.3675,90678.7676
open-ui,8/4/2025, 4:18:18 PM,Qwen3-30B-A3B:latest,419,755,0.1174,90679.1351
open-ui,8/4/2025, 4:17:41 PM,Qwen3-30B-A3B:latest,42,334,0.0376,90679.2525
open-ui,8/4/2025, 4:16:37 PM,Qwen3-30B-A3B:latest,42,366,0.0408,90679.2901
open-ui,8/4/2025, 3:19:13 PM,Qwen3-8b:latest,59357,1356,3.1035,90679.3309
open-ui,8/4/2025, 3:16:43 PM,Qwen3-8b:latest,25608,982,1.3786,90682.4344
open-ui,8/4/2025, 3:06:16 PM,Qwen3-8b:latest,401,793,0.0994,90683.8130
open-ui,7/30/2025, 1:23:26 PM,mistral-small-2506:latest,4096,608,0.4704,90683.9124
open-ui,7/16/2025, 8:32:13 AM,viewpoint-jira,8079,1060,0.3484,90684.3828
open-ui,7/16/2025, 8:22:16 AM,Qwen3-8b:latest,611,1477,0.1783,90684.7312
open-ui,7/16/2025, 8:20:36 AM,Qwen3-8b:latest,420,287,0.0497,90684.9095
open-ui,7/1/2025, 7:15:56 PM,Qwen3-8b:latest,17,126,0.0135,90684.9592
open-ui,7/1/2025, 4:46:37 PM,qwen2.5-coder-extra-ctx:7b,194,161,0.0258,90684.9727
Vishnu,7/1/2025, 8:53:42 AM,qwen2.5-coder-extra-ctx:7b,45,73,0.0096,29.2674
Katarzyna Szajkowska,6/30/2025, 3:21:34 PM,viewpoint-jira,104,202,0.0233,999.9767
open-ui,6/14/2025, 3:01:56 PM,qwen2.5-coder-extra-ctx:7b,400,161,0.0361,90684.9985
open-ui,6/14/2025, 2:58:39 PM,Qwen3-8b:latest,14,340,0.0347,90685.0346
Philipp A. Baer,6/6/2025, 6:32:26 AM,qwen2.5-coder-extra-ctx:7b,40,288,0.0308,49.8737
